title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
Rumah HOOK Dalam Perumaham Dekat Kawasan Strategis Gamping Dekat UMY,1450000000,156,115,3,2,2,SHM - Sertifikat Hak Milik,"Gamping, Sleman Kab., Yogyakarta D.I.",9294871,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7970947, 110.3250246, 0.0)",-7.7970947,110.3250246,Sleman Regency
"HARGA TERJANGKAU, MURAH, BISA KPR, BONUS MOTOR",369852369,192,45,2,2,1,SHM - Sertifikat Hak Milik,"Bantul, Bantul Kab., Yogyakarta D.I.",1926314,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8748176, 110.3255365, 0.0)",-7.8748176,110.3255365,Sleman Regency
Rumah murah dekat Pasar Pasty dongkelan,1200000000,120,130,3,3,2,SHM - Sertifikat Hak Milik,"Mantrijeron, Yogyakarta Kota, Yogyakarta D.I.",10000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.8196179, 110.3576912, 0.0)",-7.8196179,110.3576912,Sleman Regency
Rumah Baru 3 kamar Tidur di Timur bandara Adisucipto Berbah,450000000,96,65,3,1,1,SHM - Sertifikat Hak Milik,"Berbah, Sleman Kab., Yogyakarta D.I.",4687500,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.804583999999999, 110.443604, 0.0)",-7.804583999999999,110.443604,Sleman Regency
PREMIUM TANAH BONUS BANGUNAN DALAM BETENG KRATON JOGJA DEKAT MALIOBORO,3850000000,453,97,2,1,1,SHM - Sertifikat Hak Milik,"Tegalrejo, Yogyakarta Kota, Yogyakarta D.I.",8498896,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7764921, 110.3611261, 0.0)",-7.7764921,110.3611261,Sleman Regency
Rumah dijual Harga paling murah,600000000,125,100,4,2,2,SHM - Sertifikat Hak Milik,"Berbah, Sleman Kab., Yogyakarta D.I.",4800000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.804583999999999, 110.443604, 0.0)",-7.804583999999999,110.443604,Sleman Regency
Kode RSH979 #Rumah Bagus Strategis Di Ngaglik Sleman Yogyakarta,4500000000,415,347,7,7,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",10843373,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
RUMAH NYAMAN SIAP HUNI,470000000,113,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",4159292,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703,Sleman Regency
"DESAIN MEWAH ARTISTIK MAGUWOHARJO UTARA JOGJABAY DKAT UPN, UGM,GEJAYAN",3400000000,327,327,5,4,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I.",10397553,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7617436, 110.4120154, 0.0)",-7.7617436,110.4120154,Sleman Regency
Rumah 2 Lantai BONUS Kolam Renang Pribadi,2300000000,353,110,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",6515580,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
